text,label
 you fuck dad ,1
 i really understand point seems mixing apples oranges ,0
 a canadians wrong again n nunless supportive idea nothing full proof perfect take chances inadvertently kill son daughter them breaks always regard collateral damage like wartime sorry but cheques mail ,0
 listen dont wanna get married man women dont it would bother gay people got married stay lane let them god nice quick judg like him thought wasnt suppose judge people ,0
 c b xu bi t xecnh c ho kh nc ng d ng cu xed chi nh c ho kh nc n d gi v giang c th c ho kh n nr cu g xec th xec ch xfang ta bi nai c y xeau chu ho b xecnh nh khi ho b xecnh ch th s sau chi tranh m th nkh c con n ch kh m th xeam n ,0
 ok would hope they sign one year contract start with give chance reliable productive give time hurt playing skills falls back old habits ,0
 yeah now ,0
 shut fuck up rest faggot friends burned stake ,1
 either fake extremely stupid maybe both ,1
 that idiot understands neither taxation women health ,1
 dont wish injury happened doubt he injured looked embarrassed me ,0
 be careful jimbo og fork name it ,0
 pay attention ,0
 hmmm perhaps pig faced get laid therefore zero chance getting pregnant activity hold something women can idk stream consciousnees thought looking her ,0
 huh income spending math puts ,0
 for reason u sound retarded lol damn u negro ,1
 you screen name n nyou pieceofshit ,1
 oh cheating well cup cheat fest still dare post comment shame lol ,0
 your dickhead ,1
 your retard go post head ,1
 want say mike macwhogal ,0
 ,0
 and know they burned holes carpeting ,0
 you land creature would drown ,0
 to doom and gloomers chicken littles claim sky falling society collapsing canada gay marriage nationwide years disaster collapse persecution shouting about it please show us examples starting look like threats fears warnings nothing hot air ,0
 craig saying start entertaining show awakens horny little goth me met boyfriend first season one first thing watch ahs house know likes day sure far creepier kinkier could ever be thanks american horror story sweet clam loves you ,0
 strange talking chelsea fans belittling community shield ,0
 but would actually get key out ,0
 oh cool internet points collection ,0
 even though think better coaches there glad del negro keeping job never thought got enough credit years took average chicago bulls teams coached playoffs years row ,0
 russellpiano nhmmmm how spin obama honoring vietnam troops something negative answer matter look followers they take anything n n nobama team hmmm make liberal messiah look better light revelations leaking classified information new york times i know lets bogus photo shoot viet nam memorial make obama look like cares vets but first we clear vets immediate area can trusted ,0
 a good article which good do could delivered brick wall ,0
 head warning another source funding media matters peter lewis progessive insurance company know auto insurance commercials run every minutes cable television featuring gal looks like blow up doll red lips and perfectly round mouth if know mean nif progressive insurance know part premium going fund progressive liberal hell bent destroying country free speech mission to down beck dobbs lavin limbaugh boortz etc must let win ,0
 lol capcom listens watch fuck too hope wrong love okami ,0
 your sickening ignorant loser ,1
 fast furious work like planned it lololololololol ,0
 mitt best candidate president but going worst help tremendously n nobama one done it could happen way ,0
 i can believe stupid people site idea going on fools useful idiots hiding truth fools protect would look like useful idiots are ,1
 fucking behave prick ,1
 the other relevant fact destroying america ,0
 you liar ,0
 is it sum total conversation first abuse calling troll typical socialist idiot keep non existent class warfare pointless you ,1
 welp nbw right ,0
 good job fellas quite read rules signature piece guess good any found great blogs follow share g i commenting blogs always throw two cents post share add googler n again congratulations winners hope get chance submit something else fucking fun ,0
 i say hang ass center town let known type behavior gets type punishment lady kid week ago women safe sex child birth least weeks even was would wayyyyy soon hurt lady glad baby young remember event happening house hope mother recovers quickly ,0
 faggot ,1
 you right relaxe give better result perform identity work ,0
 aimless abe delusion weirdo locked inside kept away computers anyone doubts lunacy abe moronic prog frog nyc please read thread see abe completely come apart seams go deep end ,1
 that doubt n n as blackberry clone n nbut original argument android would existed android somehow predates ios development ,0
 okc work deal get pg plays like parker think nash point move westbrook sg team would unstoppable imagine shots nash would create durant westbrook would natural position too guy create shots distribute ,0
 maher show goes on npalin alakda show gets canceled n nisn free market wonderful ,0
 even troll pathetic failure ,1
 grazie mille sabrina sei cos xec dolce n nbaci ,0
 yeah well would still better letting sit years dime sticking needle veins say give noose choose kill themselves it ,0
 um n nholy fuck need cigarette ,0
 you moron truth beyond reach ,1
 you seem wistful ,0
 damn speedy recovery paul raining prayers you ,0
 the laughs two heard triggered memories high flying exits moving beasts ,0
 your anti semitic rants welcomed here racist moron nfu ,1
 fredex team ,0
 god tiresome get life loser ,1
 stop pretending ur bradley side bs are u blind give us stupid yours like idiot judges exactly carbon copy arum need moneyyyy bacckkkkkkk ,0
 fucking weird game man ,0
 i told would give did started acting likje tough guy behind moms computer asked times address still give it ,0
 i know lewis little boy little girl either way becomes third list petulant idiots understand grow up ask old bastard member family explain actions cannot tolerated come blame line judge weird ,0
 thats pathetic flop fuck jvg ,0
 why bother improving ios sell phones care produce advice better served also runs wp first foremost ,0
 spursruss live argentina argentinians problem loud issue ill educated sure rushing fight anyone would cowering background wife argentinean first one recognize stupidity claims muppet think fought independence uk morons lot them answer simple leading colonial force would english speaking country aren werent spain portugal france interests commercial also worst part exterminated natives spanish started actually newly formed argies killing native lovely eh clueless stuff wonder government gets away corruption many ignorant people thats why you shouldnt judge standard huge amount argies see cristina drum beating is presidents argentina do using cover failing ,0
 you better hope marlins history giving superstars ,0
 well guys gone done now put words required number times dating asians ad come up evidently ms zhang for bmi china wants meet me little mouth open like speaking what ask zhang well yes matter fact physician clapping hands together jumping down stop squealing young lady yourself ,0
 you mean like topic obama rant bellow ,0
 i hope inconjunction july ,0
 surely crushing blow get next four years would consider leaving country ,0
 i watched fox news years true ,0
 are france ,0
 i take temp i really hate heat ,0
 alexis bledel act wait she blind spot comes impossibly beautiful women shit maybe can act fuck hell now n nwhat hell now ,0
 i like comments nhowever would go one step further time let people il fight back nrather citizens il need fight back period ni carry next time travel little beirut i e chicago ,0
 fact georgia passed strict immigration policy latino farm workers left area vidalia georgia agriculture job openings able fill past year white real americans looking work latinos stole you where jobs vadalia waiting you or maybe fact would rather collect unemployment like rest tea klaners scream you complain and sit home wife beaters drink beer typical real white tea klan ,1
 of course would bottom feeder ,1
 m n ,0
 you are fukin moron butthurt got rejected wikipedia n ncall yoursilf scolar whatever better you already wikipedia administrator stupid ashole ,1
